VDC (mV), VFD (mV)(5000 points), devstd_VFD (mV)    (8 ns )
-450, 38.274483, 9.762222
-500, 29.900790, 9.638785
-550, 20.955461, 9.546241
-600, -6.745860, 9.729541
-610, -8.851222, 9.944480
-620, -16.981756, 9.719935
-630, -30.292477, 9.760772
-635, -36.222858, 9.860467
-640, -45.488778, 9.831321
-645, -57.074410, 9.769524
-650, -73.418085, 9.864205
-655, -89.116746, 9.551296
-660, -114.104556, 9.737568
-665, -145.888644, 9.928613
-670, -480.242256, 11.962232
-675, -983.990185, 18.731416
-680, -1499.832026, 29.903748
-685, -1950.878762, 34.646485
-690, -2559.772967, 31.737519
-695, -3246.855312, 18.017974
-700, -3541.181469, 9.705775
-750, -3544.478384, 9.658984
-800, -3545.421528, 9.557115
-850, -3543.663759, 9.786974